Respondent_ID,Q1_Age_Group,Q2_Gender,Q3_City_Tier,Q4_Education,Q5_Occupation,Q6_Monthly_Income,Q7_Sustainability_Awareness_1to5,Q8_Action_PublicTransport,Q8_Action_EcoProducts,Q8_Action_PlasticReduce,Q8_Action_EnergyConserve,Q8_Action_WasteSegregation,Q8_Action_DietChange,Q8_Action_SolarEnergy,Q8_Action_None,Q9_EcoChoice_Frequency,Q10_Primary_Commute,Q11_EnvImpact_OnPurchase_1to5,Q12_App_Comfort,Q13_App_UPI,Q13_App_Fitness,Q13_App_Loyalty,Q13_App_FoodDelivery,Q13_App_Ecommerce,Q13_App_Fintech,Q13_App_None,Q14_DataTracking_Consent,Q15_Likelihood_Download_1to5,Q16_Reward_Cashback,Q16_Reward_EcoDiscounts,Q16_Reward_Vouchers,Q16_Reward_TreePlanting,Q16_Reward_Leaderboard,Q16_Reward_Insurance,Q16_Reward_NGO,Q17_WTP_Premium_Subscription,Q18_Monthly_EcoSpend_Category,Q19_Price_Premium_Willingness,Q20_Brand_Trust_1to5,Q21_Barrier_TooExpensive,Q21_Barrier_DontKnowImpact,Q21_Barrier_Inconvenient,Q21_Barrier_NoImpact,Q21_Barrier_TimeConstraint,Q21_Barrier_None,Q22_BrandPref_OrganicFood,Q22_BrandPref_SustFashion,Q22_BrandPref_EV,Q22_BrandPref_CleanBeauty,Q22_BrandPref_HomeKitchen,Q22_BrandPref_GreenTravel,Q22_BrandPref_Solar,Q22_BrandPref_FinancialProducts,Q23_Social_Influence_1to5,Q24_Group_Challenge_Interest,Q25_NPS_0to10,Q26_Environmental_Identity,Q27_Loss_Aversion_Type,Q28_Rewards_Engagement_Depth,Q29_Household_Decision_Role,Q30_Channel_Instagram,Q30_Channel_WhatsApp,Q30_Channel_LinkedIn,Q30_Channel_NewsDigital,Q30_Channel_FriendsFamily,Q30_Channel_OTTAds,Q30_Channel_Influencer,Q30_Channel_Google,TARGET_Will_Adopt_App_0or1,TARGET_Monthly_EcoSpend_INR,TARGET_WTP_Monthly_INR,Noise_Flag,Internal_Tech_Score,Internal_Green_Score,Internal_Spend_Power,Internal_Social_Score
GL2024001,25-34,Female,Tier-3,Undergraduate,Salaried-Private,Below 15k,2,1,0,0,1,0,1,0,0,Rarely,Two-wheeler,2,Very comfortable,1,0,0,1,0,1,0,Not willing,2,1,0,0,1,0,1,0,Free only,500-1500,Up to 5% more,3,0,0,1,0,0,0,0,0,0,1,1,1,0,0,3,Maybe depends,3,Care but not central,Loss motivated (lose coins),Rarely check,Joint with spouse,1,0,0,0,1,0,0,0,0,975.0,0.0,0,0.543,0.3951,0.1411,0.4043
GL2024002,18-24,Male,Tier-2,Postgraduate,Salaried-Private,1L-2L,3,1,0,0,1,1,1,0,0,Rarely,Electric vehicle,3,Very comfortable,1,0,0,1,1,1,0,Not willing,3,0,1,0,0,0,0,0,Free only,Under 500,Up to 5% more,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,Yes-love it,4,Core identity,Loss motivated (lose coins),Check occasionally,Decide independently,1,0,0,0,0,0,1,0,0,274.0,0.0,0,0.5253,0.3816,0.5667,0.3546
GL2024003,18-24,Female,Tier-2,High school or below,Student,30k-60k,2,0,1,1,1,0,0,0,0,Occasionally,Cycling/Walking,3,Somewhat comfortable,1,1,1,0,0,0,0,Willing if anonymized,3,0,0,0,0,1,0,0,50-99/mo,Zero,No premium,2,0,1,1,0,0,0,1,0,1,1,0,0,0,0,2,Maybe depends,4,Care but not central,Gain motivated (earn coins),Strategically maximise,Joint with spouse,0,0,0,0,0,0,1,0,1,0.0,73.0,0,0.3759,0.3744,0.2169,0.4724
GL2024004,25-34,Male,Rural,High school or below,Homemaker,60k-1L,2,0,0,0,0,1,0,0,0,Never,Bus/Auto,2,Very comfortable,0,0,0,0,1,0,0,Fully willing,2,0,0,0,0,0,0,0,Free only,500-1500,No premium,5,0,0,0,0,1,1,0,0,1,0,0,1,0,1,2,Maybe depends,2,Aware not priority,Loss motivated (lose coins),Strategically maximise,Decide for household,1,0,0,0,0,1,0,0,0,856.0,0.0,0,0.2555,0.2885,0.3899,0.1408
GL2024005,35-44,Male,Rural,Undergraduate,Self-employed,15k-30k,2,0,1,0,0,0,0,0,0,Occasionally,Bus/Auto,2,Not comfortable,1,0,0,0,0,0,0,Not willing,1,0,0,0,0,0,0,0,200-399/mo,Under 500,Price irrelevant,2,0,1,1,0,0,0,0,1,0,0,1,0,0,0,2,Not interested,3,Aware not priority,Both equal,Rarely check,Decide independently,0,0,0,0,0,0,0,0,0,297.0,280.0,0,0.1243,0.1432,0.3182,0.0542
GL2024006,45-54,Male,Rural,High school or below,Salaried-Private,30k-60k,1,0,0,0,0,0,1,0,0,Never,Bus/Auto,1,Somewhat comfortable,0,0,1,1,0,0,0,Not willing,2,1,0,0,1,1,0,0,Up to 49/mo,1500-3000,Price irrelevant,2,0,0,0,1,0,0,0,0,1,0,1,0,1,1,2,No-prefer solo,1,Aware not priority,Neither,Check occasionally,Decide for household,0,1,0,0,0,1,0,0,0,2276.0,22.0,0,0.2533,0.0762,0.4096,0.1815
GL2024007,25-34,Female,Tier-3,Postgraduate,Student,15k-30k,1,0,1,0,0,0,0,0,0,Frequently,Bus/Auto,2,Not comfortable,0,0,0,0,0,0,1,Fully willing,3,0,0,1,0,0,0,0,100-199/mo,Under 500,Up to 5% more,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,No-prefer solo,4,Aware not priority,Gain motivated (earn coins),Rarely check,Joint with spouse,1,0,0,0,0,0,0,0,1,295.0,170.0,0,0.646,0.2883,0.1911,0.2901
GL2024008,35-44,Male,Tier-2,Postgraduate,Salaried-Private,30k-60k,1,1,0,0,0,1,0,0,0,Never,Personal car/SUV,3,Not comfortable,1,1,0,1,1,0,0,Willing if anonymized,2,1,0,1,0,0,0,1,Up to 49/mo,Under 500,Up to 5% more,3,0,0,1,0,0,1,0,0,1,0,0,0,1,0,2,Maybe depends,1,Care but not central,Loss motivated (lose coins),Actively track,Decide independently,1,0,0,0,0,1,0,0,1,227.0,20.0,1,0.4361,0.4359,0.4508,0.2081
GL2024009,18-24,Male,Tier-2,Undergraduate,Salaried-Private,30k-60k,2,1,0,0,1,0,0,0,0,Never,Two-wheeler,3,Somewhat comfortable,1,0,1,0,1,0,0,Not willing,3,1,0,0,0,0,0,0,Up to 49/mo,1500-3000,Up to 5% more,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,Yes-love it,7,Aware not priority,Gain motivated (earn coins),Rarely check,Decide independently,1,0,0,0,1,0,0,0,0,2430.0,24.0,0,0.6625,0.3806,0.5251,0.4141
GL2024010,45-54,Female,Rural,High school or below,Salaried-Private,15k-30k,3,0,0,0,0,0,0,0,1,Occasionally,Personal car/SUV,2,Not comfortable,1,0,0,0,0,0,0,Fully willing,3,0,0,0,0,0,0,0,50-99/mo,Under 500,Up to 20% more,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,Not interested,3,Care but not central,Gain motivated (earn coins),Check occasionally,Decide for household,0,0,1,0,0,0,0,1,0,286.0,83.0,0,0.2364,0.265,0.333,0.3075
GL2024011,45-54,Female,Metro,Undergraduate,Salaried-Private,15k-30k,2,0,1,0,0,1,0,0,0,Always,Metro/Train,3,Somewhat comfortable,0,0,1,0,1,0,0,Not willing,2,1,1,0,0,0,0,0,Up to 49/mo,Zero,Up to 5% more,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,No-prefer solo,0,Core identity,Gain motivated (earn coins),Rarely check,Joint with spouse,1,0,0,0,0,0,0,0,0,0.0,23.0,0,0.3705,0.4269,0.2217,0.2271
